Entity,Code,Year,Transport emissions per kilometer travelled
Bus (average),,2022,96.5
Bus (local London),,2022,79.36
Coach (bus),,2022,27.330000000000002
Diesel car,,2022,170.82
Domestic flight,,2022,245.87
Electric car,,2022,47.09
Eurostar (to Paris),,2022,4.460000000000001
Ferry (foot passenger),,2022,18.74
London Underground,,2022,27.810000000000002
Long-haul flight,,2022,147.87
Motorbike,,2022,113.55
National rail,,2022,35.49
Petrol car,,2022,170.48
Plug-in hybrid,,2022,68.4
Short-haul flight,,2022,151.01999999999998
Tram,,2022,28.61